#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
A4V164	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q3KN27	P04412	22110040	Post-translational_modification	PPI_directed
A1ZBH7	Q00805	22110040	Post-translational_modification	PPI_directed
B7FNN3	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9NB04	P04412	22110040	Post-translational_modification	PPI_directed
Q8MZI6	P04412	22110040	Post-translational_modification	PPI_directed
F0JAI8	P29503	22110040	Post-translational_modification	PPI_directed
Q7KPK6	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8SXI6	P04412	22110040	Post-translational_modification	PPI_directed
Q9VGP9	Q01083	22110040	Post-translational_modification	PPI_directed
C8VUY9	Q08012	22110040	Post-translational_modification	PPI_directed
E1JGM9	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C8VUZ5	Q08012	22110040	Post-translational_modification	PPI_directed
C7LAC8	Q9VM64	22110040	Post-translational_modification	PPI_directed
O01349	Q01083	22110040	Post-translational_modification	PPI_directed
Q6NP56	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q95TT5	Q08012	22110040	Post-translational_modification	PPI_directed
O01653	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VE98	Q00805	22110040	Post-translational_modification	PPI_directed
A1Z9X0	Q00805	22110040	Post-translational_modification	PPI_directed
Q9U485	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
H1ZY64	P04412	22110040	Post-translational_modification	PPI_directed
Q9VUZ6	Q00805	22110040	Post-translational_modification	PPI_directed
E5KZ50	P04412	22110040	Post-translational_modification	PPI_directed
G4LU57	Q00805	22110040	Post-translational_modification	PPI_directed
Q24044	Q00805	22110040	Post-translational_modification	PPI_directed
Q960G5	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1U3G2	P29503	22110040	Post-translational_modification	PPI_directed
P12370	Q9VDE3	23331499;12432393;21036869;17925225	Interaction_between_pathway_members	PPI_directed
Q6IHB1	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C7LAB4	P29503	22110040	Post-translational_modification	PPI_directed
Q7JVF1	Q08012	22110040	Post-translational_modification	PPI_directed
Q9VI13	Q01083	22110040	Post-translational_modification	PPI_directed
Q1WWE7	P04412	22110040	Post-translational_modification	PPI_directed
Q95UN8	Q00805	22110040	Post-translational_modification	PPI_directed
O17048	Q08012	22110040	Post-translational_modification	PPI_directed
D0IQ97	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A1Z7L8	Q08012	22110040	Post-translational_modification	PPI_directed
O61639	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
O97111	P04412	22110040	Post-translational_modification	PPI_directed
E1U3G1	Q00805	22110040	Post-translational_modification	PPI_directed
Q94888	P04412	22110040	Post-translational_modification	PPI_directed
P10041	P18537	10028968;21071413	interaction_from_external_databases	PPI_undirected
Q8INJ8	Q01083	22110040	Post-translational_modification	PPI_directed
Q86NK8	Q08012	22110040	Post-translational_modification	PPI_directed
Q0E8U6	Q00805	22110040	Post-translational_modification	PPI_directed
Q95YH7	Q00805	22110040	Post-translational_modification	PPI_directed
Q5LJP5	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
B3DN76	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VX24	Q00805	22110040	Post-translational_modification	PPI_directed
A2VEK2	Q9VVI3	22110040	Post-translational_modification	PPI_directed
C0PDF3	Q00805	22110040	Post-translational_modification	PPI_directed
Q9W3K6	Q9VVI3	22110040	Post-translational_modification	PPI_directed
O76522	P29503	22110040	Post-translational_modification	PPI_directed
Q8SWX3	P29503	22110040	Post-translational_modification	PPI_directed
P12370	P04412	22110040	Post-translational_modification	PPI_directed
Q24096	P29503	22110040	Post-translational_modification	PPI_directed
Q9V9T1	Q00805	22110040	Post-translational_modification	PPI_directed
Q8IR79	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9XTN2	Q95V55	12908874;21036869	interaction_from_external_databases	PPI_undirected
Q8T473	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q7K4E2	P04412	22110040	Post-translational_modification	PPI_directed
Q7KM03	Q01083	22110040	Post-translational_modification	PPI_directed
P31007	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q24326	Q08012	22110040	Post-translational_modification	PPI_directed
Q03043	Q08012	22110040	Post-translational_modification	PPI_directed
Q058V4	Q9VM64	22110040	Post-translational_modification	PPI_directed
P11346	P18289	8670899;21071413	interaction_from_external_databases	PPI_undirected
Q7KMI3	P29503	22110040	Post-translational_modification	PPI_directed
Q9U1H0	P16371	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q0E974	P04412	22110040	Post-translational_modification	PPI_directed
Q8IGN9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VU98	P04412	22110040	Post-translational_modification	PPI_directed
Q9VQD1	Q00805	22110040	Post-translational_modification	PPI_directed
P08646	P29349	8620840;11014820;21071413	interaction_from_external_databases	PPI_undirected
Q8IML9	Q08012	22110040	Post-translational_modification	PPI_directed
Q24218	P04412	22110040	Post-translational_modification	PPI_directed
Q4AB31	Q08012	22110040	Post-translational_modification	PPI_directed
Q9W5Q1	P04412	22110040	Post-translational_modification	PPI_directed
C0MJ66	P29503	22110040	Post-translational_modification	PPI_directed
Q5IF97	Q00805	22110040	Post-translational_modification	PPI_directed
Q961U1	P29503	22110040	Post-translational_modification	PPI_directed
B6UW20	Q9VM64	22110040	Post-translational_modification	PPI_directed
E1JJM7	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q8T0S6	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q86PE7	Q01083	22110040	Post-translational_modification	PPI_directed
Q8T0U6	Q01083	22110040	Post-translational_modification	PPI_directed
Q7KM08	Q01083	22110040	Post-translational_modification	PPI_directed
E1JGN0	Q9VM64	22110040	Post-translational_modification	PPI_directed
A8JRF7	P29503	22110040	Post-translational_modification	PPI_directed
Q09147	Q8T9B1	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q9W0F8	P42287	11023685;23331499	Interaction_between_pathway_members	PPI_directed
O44783	Q00805	10089881;10226010;10747059;21071413	interaction_from_external_databases	PPI_undirected
D2NUE7	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q29R32	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
B9EQT0	P04412	22110040	Post-translational_modification	PPI_directed
Q86NP0	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VX06	Q08012	22110040	Post-translational_modification	PPI_directed
A4V3W2	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q7KM03	Q08012	22110040	Post-translational_modification	PPI_directed
Q9W002	P04412	22110040	Post-translational_modification	PPI_directed
Q5K375	Q01083	22110040	Post-translational_modification	PPI_directed
H1ZY64	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A1ZBM1	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q8IML9	P04412	22110040	Post-translational_modification	PPI_directed
C7LAB4	Q00805	22110040	Post-translational_modification	PPI_directed
B9EQQ2	Q08012	22110040	Post-translational_modification	PPI_directed
P91682	Q02936	8700230;21036869	interaction_from_external_databases	PPI_undirected
Q7JPM7	Q08012	22110040	Post-translational_modification	PPI_directed
Q4V5D7	Q00805	22110040	Post-translational_modification	PPI_directed
Q7M3J7	P29503	22110040	Post-translational_modification	PPI_directed
Q8WS23	Q01083	22110040	Post-translational_modification	PPI_directed
Q4QQA2	Q08012	22110040	Post-translational_modification	PPI_directed
Q8SX92	Q00805	22110040	Post-translational_modification	PPI_directed
Q0KHZ4	Q00805	22110040	Post-translational_modification	PPI_directed
Q24590	Q9VM64	22110040	Post-translational_modification	PPI_directed
P31007	Q00805	22110040	Post-translational_modification	PPI_directed
A2VEV2	Q08012	22110040	Post-translational_modification	PPI_directed
P18431	Q01083	22110040	Post-translational_modification	PPI_directed
F6J9W7	Q00805	22110040	Post-translational_modification	PPI_directed
O61443	P04412	22110040	Post-translational_modification	PPI_directed
B7YZD8	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
E1JHR9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8T9L5	P04412	22110040	Post-translational_modification	PPI_directed
Q7KM05	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VJC2	Q08012	22110040	Post-translational_modification	PPI_directed
C1C3D4	P04412	22110040	Post-translational_modification	PPI_directed
Q8IMG7	P04412	22110040	Post-translational_modification	PPI_directed
Q8IPP3	Q01083	22110040	Post-translational_modification	PPI_directed
Q9V9J3	P29503	22110040	Post-translational_modification	PPI_directed
A4V134	Q01083	22110040	Post-translational_modification	PPI_directed
P18475	Q4AB31	22036573;21036869	interaction_from_external_databases	PPI_undirected
E2QCZ5	P04412	22110040	Post-translational_modification	PPI_directed
Q01083	P04412	23331499;12169630;8929534;9570772;7833285;7833286;21071413	Interaction_between_pathway_members	PPI_directed
Q9VM35	P04412	22110040	Post-translational_modification	PPI_directed
Q194S5	P04412	22110040	Post-translational_modification	PPI_directed
A8JNJ2	P29503	22110040	Post-translational_modification	PPI_directed
Q7PLI0	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P13368	P10041	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
B7Z0W0	P29503	22110040	Post-translational_modification	PPI_directed
A1ZBL9	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q7KKI9	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q03017	Q01083	22110040	Post-translational_modification	PPI_directed
Q95V83	Q9VVI3	22110040	Post-translational_modification	PPI_directed
A1Z7Y7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q194S5	Q01083	22110040	Post-translational_modification	PPI_directed
Q3KN27	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9VZV3	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
B6UXN9	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VX06	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A1ZA68	P29503	22110040	Post-translational_modification	PPI_directed
Q9VA47	Q01083	22110040	Post-translational_modification	PPI_directed
C5I7C5	Q00805	22110040	Post-translational_modification	PPI_directed
Q8T088	Q00805	22110040	Post-translational_modification	PPI_directed
P92208	P29503	22110040	Post-translational_modification	PPI_directed
D0Z749	Q00805	22110040	Post-translational_modification	PPI_directed
C5WLP3	Q08012	22110040	Post-translational_modification	PPI_directed
P40417	P04412	22110040;21071413	Post-translational_modification;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
P51592	P19538	12421709;23331499	Interaction_between_pathway_members	PPI_directed
Q1EBZ9	Q9VM64	22110040	Post-translational_modification	PPI_directed
C1C3H0	Q08012	22110040	Post-translational_modification	PPI_directed
B5RIU6	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
F0JAI8	Q00805	22110040	Post-translational_modification	PPI_directed
Q7JMV3	P29503	22110040	Post-translational_modification	PPI_directed
Q1EBZ9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VA47	P04412	22110040	Post-translational_modification	PPI_directed
Q86B73	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q058T2	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P19538	O01368	15803137;15710747;21036869;23331499	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
Q9VA36	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9XYM0	P04412	22110040	Post-translational_modification	PPI_directed
C8VUZ5	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q5U110	Q02308	12049762;21071413	interaction_from_external_databases	PPI_undirected
Q7KV83	Q9VM64	22110040	Post-translational_modification	PPI_directed
D0Z749	Q08012	22110040	Post-translational_modification	PPI_directed
Q9VHC3	Q01083	22110040	Post-translational_modification	PPI_directed
D3DMK7	Q00805	22110040	Post-translational_modification	PPI_directed
Q95SI0	Q00805	22110040	Post-translational_modification	PPI_directed
Q59DZ3	P07207	23331499;9428413;9872749;9244301;21036869;11799064;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
Q9GTV1	Q00805	22110040	Post-translational_modification	PPI_directed
Q86P88	Q9VM64	22110040	Post-translational_modification	PPI_directed
A2VEK2	P04412	22110040	Post-translational_modification	PPI_directed
Q7KRY6	P04412	22110040	Post-translational_modification	PPI_directed
Q7KSS0	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P28159	Q9V9J3	9927462;21071413	interaction_from_external_databases	PPI_undirected
A1Z7T0	P04412	22110040	Post-translational_modification	PPI_directed
A1ZA67	P04412	22110040	Post-translational_modification	PPI_directed
P07207	P16371	2338245;11719214;12154126;21071413	interaction_from_external_databases	PPI_undirected
Q7KV83	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VXN5	Q01083	22110040	Post-translational_modification	PPI_directed
A1ZBL5	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VRK9	P91682	15803137;23331499	Interaction_between_pathway_members	PPI_directed
Q9VX88	P04412	22110040	Post-translational_modification	PPI_directed
Q9VX41	P04412	22110040	Post-translational_modification	PPI_directed
Q9V455	Q01083	22110040	Post-translational_modification	PPI_directed
Q8MT81	Q08012	22110040	Post-translational_modification	PPI_directed
P07207	Q9VN82	17183697;7698650;21036869;21071413	interaction_from_external_databases	PPI_undirected
Q9VVI3	P07207	23331499;21036869;15620649	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
Q24096	P04412	22110040	Post-translational_modification	PPI_directed
B6UVZ6	Q08012	22110040	Post-translational_modification	PPI_directed
Q29R23	Q00805	22110040	Post-translational_modification	PPI_directed
Q27889	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VYN5	P29503	22110040	Post-translational_modification	PPI_directed
P91682	P32866	23331499;17483466	Interaction_between_pathway_members	PPI_directed
P48609	P04412	22110040	Post-translational_modification	PPI_directed
Q59DY7	Q08012	22110040	Post-translational_modification	PPI_directed
Q8IR79	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VE62	Q08012	22110040	Post-translational_modification	PPI_directed
Q7KV83	P04412	22110040	Post-translational_modification	PPI_directed
P08181	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9NGX8	Q7KTP1	23331499;10357889	Interaction_between_pathway_members	PPI_directed
D6W4K4	Q08012	22110040	Post-translational_modification	PPI_directed
A8DYU9	P04412	22110040	Post-translational_modification	PPI_directed
D3DMK5	Q00805	22110040	Post-translational_modification	PPI_directed
Q6NNW8	P04412	22110040	Post-translational_modification	PPI_directed
D1YSG0	Q9VVI3	22110040	Post-translational_modification	PPI_directed
D0IQ97	P04412	22110040	Post-translational_modification	PPI_directed
O76324	Q01083	22110040	Post-translational_modification	PPI_directed
Q8INU8	Q00805	22110040	Post-translational_modification	PPI_directed
Q8SYG3	P04412	22110040	Post-translational_modification	PPI_directed
Q02308	P04412	12049762;1980740;9383058;21071413	interaction_from_external_databases	PPI_undirected
P00522	P07207	23331499;9581760;12781136;9892565;21071413	Interaction_between_pathway_members	PPI_directed
P19538	P18824	9783586;11784100;21071413	interaction_from_external_databases	PPI_undirected
Q9VE62	P29503	22110040	Post-translational_modification	PPI_directed
Q4V4A7	Q08012	22110040	Post-translational_modification	PPI_directed
Q24213	P04412	22110040	Post-translational_modification	PPI_directed
A1ZAN7	P04412	22110040	Post-translational_modification	PPI_directed
O76324	P04412	22110040	Post-translational_modification	PPI_directed
Q24151	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q0KHT7	Q9VM64	22110040	Post-translational_modification	PPI_directed
P21520	P07207	23331499;2125959;15760463;10959842;8913755;21036869;11214322;21071413	Interaction_between_pathway_members	PPI_directed
Q9VYN5	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P18824	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9Y1T2	Q00805	22110040	Post-translational_modification	PPI_directed
F6J178	Q01083	22110040	Post-translational_modification	PPI_directed
A8JRF7	P04412	22110040	Post-translational_modification	PPI_directed
Q8MZ44	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
E1U3F7	Q00805	22110040	Post-translational_modification	PPI_directed
C5I7A9	Q00805	22110040	Post-translational_modification	PPI_directed
Q1WWB7	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VZI9	Q00805	22110040	Post-translational_modification	PPI_directed
Q8INU8	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P21520	P10041	15760463;23331499;8647397;21071413	Interaction_between_pathway_members	PPI_directed
P18824	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9VWE0	P36872	22036573;21036869	interaction_from_external_databases	PPI_undirected
H1ZY63	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9W3X3	Q00805	22110040	Post-translational_modification	PPI_directed
P92208	P40792	10985385;11825878;21071413	interaction_from_external_databases	PPI_undirected
F0JAJ4	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q24590	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
H1ZYB5	Q00805	22110040	Post-translational_modification	PPI_directed
Q24213	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q7M3J7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9UB78	P29503	22110040	Post-translational_modification	PPI_directed
Q59DY7	P04412	22110040	Post-translational_modification	PPI_directed
Q24229	Q01083	22110040	Post-translational_modification	PPI_directed
C8VUZ5	P29503	22110040	Post-translational_modification	PPI_directed
Q8T9G9	Q01083	22110040	Post-translational_modification	PPI_directed
D1YSG7	Q01083	22110040	Post-translational_modification	PPI_directed
Q1RKV9	P29503	22110040	Post-translational_modification	PPI_directed
Q29R23	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VU14	Q00805	22110040	Post-translational_modification	PPI_directed
B4F5L6	Q00805	22110040	Post-translational_modification	PPI_directed
Q8IR47	Q01083	22110040	Post-translational_modification	PPI_directed
Q9Y0H4	Q00805	22110040	Post-translational_modification	PPI_directed
Q960H0	Q00805	22110040	Post-translational_modification	PPI_directed
A1ZBL7	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
O61444	Q01083	22110040	Post-translational_modification	PPI_directed
Q7PLI0	P04412	22110040	Post-translational_modification	PPI_directed
A9YJG0	P29503	22110040	Post-translational_modification	PPI_directed
B7FNN3	Q08012	22110040	Post-translational_modification	PPI_directed
Q95SH0	P29503	22110040	Post-translational_modification	PPI_directed
Q7KNF5	Q24151	11504941;23331499;21036869;21071413	Interaction_between_pathway_members	PPI_directed
P32392	Q00805	22110040	Post-translational_modification	PPI_directed
P18502	Q9VVI3	15710747;21036869;21071413	interaction_from_external_databases	PPI_undirected
Q29R32	Q00805	22110040	Post-translational_modification	PPI_directed
Q8T0L6	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q86B72	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q5IFA0	Q00805	22110040	Post-translational_modification	PPI_directed
E1JJH9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9V853	Q7KTP1	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q8I8U7	P04412	22110040	Post-translational_modification	PPI_directed
Q7YU19	Q08012	22110040	Post-translational_modification	PPI_directed
Q8I6M5	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P04412	Q9V9J3	9927462;21071413	interaction_from_external_databases	PPI_undirected
Q9V9J3	P40417	9927462;21071413	interaction_from_external_databases	PPI_undirected
Q9VRR9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1JHR9	Q01083	22110040	Post-translational_modification	PPI_directed
Q02936	P51592	12421709;21071413	interaction_from_external_databases	PPI_undirected
P42287	Q9W0F8	21036869	interaction_from_external_databases	PPI_undirected
D1YSG1	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8MZ44	Q00805	22110040	Post-translational_modification	PPI_directed
Q23977	P09615	12447392;21071413	interaction_from_external_databases	PPI_undirected
P08181	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1JGN0	Q08012	22110040	Post-translational_modification	PPI_directed
P91667	P04412	22110040	Post-translational_modification	PPI_directed
P07713	Q7KTP1	23331499;10357889;10022918;9827801;8044838;9827802;21036869;9735359;9056776;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
Q15K30	P04412	22110040	Post-translational_modification	PPI_directed
O16844	P91682	14614827;14597665;21036869;21071413	interaction_from_external_databases	PPI_undirected
Q8IGH9	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VC32	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9GTV1	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q4QQA2	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9V3C8	Q9VZZ9	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q9VMY8	Q08012	22110040	Post-translational_modification	PPI_directed
Q960Q5	Q01083	22110040	Post-translational_modification	PPI_directed
C8VV69	P04412	22110040	Post-translational_modification	PPI_directed
D3DML3	Q00805	22110040	Post-translational_modification	PPI_directed
Q24151	Q01083	22110040	Post-translational_modification	PPI_directed
Q8STF7	Q08012	22110040	Post-translational_modification	PPI_directed
F6J8U9	Q08012	22110040	Post-translational_modification	PPI_directed
Q23975	Q9VVI3	22110040	Post-translational_modification	PPI_directed
O17049	Q00805	22110040	Post-translational_modification	PPI_directed
Q9W4X4	P04412	22110040	Post-translational_modification	PPI_directed
P09615	P18824	10924470;11124118;11717401;10581282;10457019;9039917;21071413	interaction_from_external_databases	PPI_undirected
Q960G5	P29503	22110040	Post-translational_modification	PPI_directed
F6J8U9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q24572	Q00805	22110040	Post-translational_modification	PPI_directed
Q058V8	Q00805	22110040	Post-translational_modification	PPI_directed
P32865	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8IGW6	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q24326	Q9VM64	22110040	Post-translational_modification	PPI_directed
A4V164	P29503	22110040	Post-translational_modification	PPI_directed
Q0KHW6	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9VAS9	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9I7T8	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P12370	Q00805	22110040	Post-translational_modification	PPI_directed
Q95SH0	P04412	22110040	Post-translational_modification	PPI_directed
H1UUM2	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1U3G0	Q08012	22110040	Post-translational_modification	PPI_directed
Q8INB9	Q9W0V1	21036869;21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
P16554	P42003	14605208;21036869;21071413	interaction_from_external_databases	PPI_undirected
C1C3H0	P29503	22110040	Post-translational_modification	PPI_directed
Q9W4S7	P08646	10693760;21071413	interaction_from_external_databases	PPI_undirected
Q59DZ3	P10041	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
D3DMN9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q29R32	Q01083	22110040	Post-translational_modification	PPI_directed
P18824	P21519	10545243;21071413	interaction_from_external_databases	PPI_undirected
Q95T01	Q08012	22110040	Post-translational_modification	PPI_directed
Q9GV80	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q8MSQ7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9V9J3	Q24324	10075855;8682295;8013459;9927462;21071413	interaction_from_external_databases	PPI_undirected
E1JGN0	P04412	22110040	Post-translational_modification	PPI_directed
F6J8U9	P04412	22110040	Post-translational_modification	PPI_directed
Q9VWW4	Q9XYM5	11504941;21071413	interaction_from_external_databases	PPI_undirected
Q4AB31	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9V393	Q23985	14605208;16284625;23331499;21036869	Interaction_between_pathway_members	PPI_directed
Q8IMC6	P29503	22110040	Post-translational_modification	PPI_directed
Q7KV90	P40793	12467587;21071413	interaction_from_external_databases	PPI_undirected
P07713	Q24468	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q9VDE3	Q24213	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
E2QC90	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VX06	P04412	22110040	Post-translational_modification	PPI_directed
Q9VXG8	Q01083	22110040	Post-translational_modification	PPI_directed
P51023	P18475	1905816;21036869	interaction_from_external_databases	PPI_undirected
Q7KV89	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q7KV88	Q00805	22110040	Post-translational_modification	PPI_directed
C8VUZ5	P04412	22110040	Post-translational_modification	PPI_directed
P92208	P18289	23331499;9224720;21036869;9224721;11825878;21071413	Interaction_between_pathway_members	PPI_directed
Q86NP0	P29503	22110040	Post-translational_modification	PPI_directed
Q9VR61	Q00805	22110040	Post-translational_modification	PPI_directed
Q4QQA2	Q00805	22110040	Post-translational_modification	PPI_directed
A1ZA66	P04412	22110040	Post-translational_modification	PPI_directed
Q7K306	Q08012	22110040	Post-translational_modification	PPI_directed
E8NH86	Q00805	22110040	Post-translational_modification	PPI_directed
Q95SH0	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q960F4	P04412	22110040	Post-translational_modification	PPI_directed
A1XXK5	P04412	22110040	Post-translational_modification	PPI_directed
O02194	P18824	10924470;21071413	interaction_from_external_databases	PPI_undirected
F6J178	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9W0Q1	P04412	22110040	Post-translational_modification	PPI_directed
Q8IGW6	Q01083	22110040	Post-translational_modification	PPI_directed
Q8SYG3	Q01083	22110040	Post-translational_modification	PPI_directed
Q24590	P29503	22110040	Post-translational_modification	PPI_directed
Q8T9D6	Q01083	22110040	Post-translational_modification	PPI_directed
Q24151	P04412	12750336;22110040;21071413	Post-translational_modification;interaction_from_external_databases	PPI_directed;PPI_undirected
Q86B53	Q00805	22110040	Post-translational_modification	PPI_directed
Q7KQP6	P29503	22110040	Post-translational_modification	PPI_directed
O02195	Q00805	22110040	Post-translational_modification	PPI_directed
Q7YU60	P04412	22110040	Post-translational_modification	PPI_directed
Q9VC32	Q9VM64	22110040	Post-translational_modification	PPI_directed
C9QP81	Q00805	22110040	Post-translational_modification	PPI_directed
P19538	P04412	1980740;21071413	interaction_from_external_databases	PPI_undirected
H1ZY86	Q00805	22110040	Post-translational_modification	PPI_directed
A2RVI0	P04412	22110040	Post-translational_modification	PPI_directed
A9YH79	Q01083	22110040	Post-translational_modification	PPI_directed
F0JAG7	Q00805	22110040	Post-translational_modification	PPI_directed
P09615	P91682	9598354;21071413	interaction_from_external_databases	PPI_undirected
A8JMD5	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VIF7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1JHR9	Q08012	22110040	Post-translational_modification	PPI_directed
E1JJM7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q86P98	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9VFP2	Q9V475	16740475;23331499;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
Q8MQJ7	P29503	22110040	Post-translational_modification	PPI_directed
P12370	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VRJ6	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VM21	Q9VM64	22110040	Post-translational_modification	PPI_directed
C1C3H0	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9U1K8	Q00805	22110040	Post-translational_modification	PPI_directed
Q24045	Q08012	22110040	Post-translational_modification	PPI_directed
P36872	P08646	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
C8VUZ5	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q7K7G0	Q08012	22110040	Post-translational_modification	PPI_directed
P18289	P13368	9224723;7923366;21071413	interaction_from_external_databases	PPI_undirected
