#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
A1ZA67	Q9VM64	22110040	Post-translational_modification	PPI_directed
P20350	Q9V9J3	9927462;21071413	interaction_from_external_databases	PPI_undirected
Q9XYR0	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q0KHW6	Q08012	22110040	Post-translational_modification	PPI_directed
P42003	P91943	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q7YU80	Q08012	22110040	Post-translational_modification	PPI_directed
D3DMW1	P29503	22110040	Post-translational_modification	PPI_directed
A1Z7L8	Q9VM64	22110040	Post-translational_modification	PPI_directed
F6J8U9	Q01083	22110040	Post-translational_modification	PPI_directed
Q8MT81	Q01083	22110040	Post-translational_modification	PPI_directed
Q95U21	Q00805	22110040	Post-translational_modification	PPI_directed
Q6NNA8	Q01083	22110040	Post-translational_modification	PPI_directed
P12982	Q01083	22110040	Post-translational_modification	PPI_directed
Q24145	P29503	22110040	Post-translational_modification	PPI_directed
Q8IMC6	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P18502	P07713	8306973;9102309;11112325;21071413	interaction_from_external_databases	PPI_undirected
Q9W1B0	Q9VVI3	22110040	Post-translational_modification	PPI_directed
A4V164	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P49657	P04412	22110040	Post-translational_modification	PPI_directed
B5RIT0	Q01083	22110040	Post-translational_modification	PPI_directed
Q0KHT7	Q01083	22110040	Post-translational_modification	PPI_directed
P28465	A1Z9D7	23331499;11029007	Interaction_between_pathway_members	PPI_directed
B6IDW7	P04412	22110040	Post-translational_modification	PPI_directed
C8VV09	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VK37	Q08012	22110040	Post-translational_modification	PPI_directed
Q7JQ36	Q9VVI3	22110040	Post-translational_modification	PPI_directed
A1ZA69	Q08012	22110040	Post-translational_modification	PPI_directed
Q86NM6	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9W5W4	Q00805	22110040	Post-translational_modification	PPI_directed
Q9W002	Q08012	22110040	Post-translational_modification	PPI_directed
Q1EBZ9	P04412	22110040	Post-translational_modification	PPI_directed
A1Z869	Q00805	22110040	Post-translational_modification	PPI_directed
C8VV50	Q00805	22110040	Post-translational_modification	PPI_directed
Q8T4D4	Q01083	22110040	Post-translational_modification	PPI_directed
B6UW17	P04412	22110040	Post-translational_modification	PPI_directed
Q960B9	Q01083	22110040	Post-translational_modification	PPI_directed
Q0E974	P29503	22110040	Post-translational_modification	PPI_directed
Q058V4	Q08012	22110040	Post-translational_modification	PPI_directed
P92208	Q9NFL3	14605208;21036869	interaction_from_external_databases	PPI_undirected
P18502	P91682	11934850;23331499;9598354;21036869;11112325;14556242;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
O18645	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9V8V8	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q7KTP1	Q24468	9521913;12750335;8653785;9409686;21071413	interaction_from_external_databases	PPI_undirected
E5KZ58	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C9QP46	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9VR61	Q08012	22110040	Post-translational_modification	PPI_directed
Q0E930	Q00805	22110040	Post-translational_modification	PPI_directed
Q7KM03	P29503	22110040	Post-translational_modification	PPI_directed
Q9VPU1	P04412	22110040	Post-translational_modification	PPI_directed
P29349	O44783	23331499;16123311	Interaction_between_pathway_members	PPI_directed
A4IJ82	P04412	22110040	Post-translational_modification	PPI_directed
Q0KHT7	P04412	22110040	Post-translational_modification	PPI_directed
Q01842	P48423	1505027;21071413	interaction_from_external_databases	PPI_undirected
Q24458	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VT40	P04412	22110040	Post-translational_modification	PPI_directed
P18475	P40417	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q7KU46	Q9VVI3	22110040	Post-translational_modification	PPI_directed
C6SUY6	Q01083	22110040	Post-translational_modification	PPI_directed
Q8MSQ7	P04412	22110040	Post-translational_modification	PPI_directed
C8VUZ5	Q01083	22110040	Post-translational_modification	PPI_directed
P02574	P29503	22110040	Post-translational_modification	PPI_directed
A8JUV9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VN82	P08646	23331499;9226438;15710747;21036869;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
Q95SI0	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VUV4	P29503	22110040	Post-translational_modification	PPI_directed
Q9GV79	Q9VM64	22110040	Post-translational_modification	PPI_directed
F6JB93	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A8DYU9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q6NR09	Q01083	22110040	Post-translational_modification	PPI_directed
Q5LJP6	Q08012	22110040	Post-translational_modification	PPI_directed
Q9VC32	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q8T0H3	Q00805	22110040	Post-translational_modification	PPI_directed
Q6NP28	P29503	22110040	Post-translational_modification	PPI_directed
Q9VU84	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q8INB6	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1U3F9	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q95T01	Q01083	22110040	Post-translational_modification	PPI_directed
E1U3G3	Q01083	22110040	Post-translational_modification	PPI_directed
D1YSG1	Q08012	22110040	Post-translational_modification	PPI_directed
Q7KVY5	Q01083	22110040	Post-translational_modification	PPI_directed
Q963E5	Q08012	22110040	Post-translational_modification	PPI_directed
C6TP33	P04412	22110040	Post-translational_modification	PPI_directed
D4G7B0	Q08012	22110040	Post-translational_modification	PPI_directed
Q9VR61	P29503	22110040	Post-translational_modification	PPI_directed
O96660	Q24468	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q8IRT8	P04412	22110040	Post-translational_modification	PPI_directed
Q24342	P18168	9247339;9655817;23331499;9310337;10635331;9778511;9202123;9892565;21071413	Interaction_between_pathway_members	PPI_directed
E8NH13	Q00805	22110040	Post-translational_modification	PPI_directed
Q961B0	Q9VM64	22110040	Post-translational_modification	PPI_directed
O76281	P04412	22110040	Post-translational_modification	PPI_directed
O01652	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VPY2	Q00805	22110040	Post-translational_modification	PPI_directed
Q7KV83	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q6NN53	Q00805	22110040	Post-translational_modification	PPI_directed
