#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0020621	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0004106	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0264492	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0010269	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0261530	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003984	FBgn0001169	12049762;9383058;21071413	interaction_from_external_databases	PPI_undirected
FBgn0261278	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0000119	FBgn0016797	21036869	interaction_from_external_databases	PPI_undirected
FBgn0003716	FBgn0020493	9335506;18588885;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0025716	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0034950	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000046	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0026319	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003256	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0010333	FBgn0014001	15479641;23331499;10847683;15710747;21036869;15572110;14527437	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0040068	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0040011	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0003366	FBgn0001965	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0031905	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004647	FBgn0001139	2338245;11719214;12154126;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003654	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0026063	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0004859	FBgn0001079	9858670;8861096;15063184;21036869;14611647;12163413;10825151;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003091	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0024248	FBgn0020622	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0004009	FBgn0000490	8582266;12091309;9043089;10409497;9716539;9927593;9389669;21071413	interaction_from_external_databases	PPI_undirected
FBgn0038816	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0004367	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0031030	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0015618	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0003079	FBgn0004009	11526075;10860999;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004367	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0030697	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0004644	FBgn0250823	11804568;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004197	FBgn0014388	15710747;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0027343	FBgn0004360	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0025865	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0000119	23331499;16340998	Interaction_between_pathway_members	PPI_directed
FBgn0000274	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0000273	FBgn0023423	23331499;12432393;21036869;17925225	Interaction_between_pathway_members	PPI_directed
FBgn0000147	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0038856	FBgn0015790	23331499;21036869;16137928	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0000273	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0045980	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0035397	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0024326	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0003118	FBgn0003366	9883586;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000524	FBgn0040206	14605208;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0259220	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0011737	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0003716	FBgn0004635	9056776;21071413	interaction_from_external_databases	PPI_undirected
FBgn0085385	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0027363	FBgn0004864	23331499;12479803	Interaction_between_pathway_members	PPI_directed
FBgn0023423	FBgn0000577	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0024234	FBgn0003317	23331499;9636086;9735359;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0036544	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0011300	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0264959	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0002643	FBgn0004009	10545243;21071413	interaction_from_external_databases	PPI_undirected
FBgn0038659	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0026064	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0052595	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0015296	FBgn0004638	7509037;22110040;21036869;23331499	Post-translational_modification;Directed_protein-protein_interaction;Interaction_between_pathway_members	PPI_directed;PPI_predicted_as_directed
FBgn0026323	FBgn0000229	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0011743	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0086657	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0004009	FBgn0000117	10924470;11124118;11717401;10581282;10457019;9039917;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000721	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0000229	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003892	FBgn0003984	10588875;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003256	FBgn0003079	8722784;11063697;22028469;8124723;21036869;10511556;11014822;8770593;10655223;21071413	interaction_from_external_databases	PPI_undirected
FBgn0031473	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0000463	FBgn0003326	8647397;21071413	interaction_from_external_databases	PPI_undirected
FBgn0032593	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0000117	23331499;9187151;10581282;9630748;10924470;21036869;12559488;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0026370	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0010453	FBgn0004644	11180811;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003256	FBgn0003607	11293800;10835392;21071413	interaction_from_external_databases	PPI_undirected
FBgn0001079	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0003132	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0024846	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0010602	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0259168	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0264607	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0028410	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0053993	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0263933	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0024889	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0038630	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0030486	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0264959	FBgn0021818	15660123;23331499;21036869	Interaction_between_pathway_members	PPI_directed
FBgn0031905	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0000244	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0003744	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0004360	FBgn0016797	23331499;21036869;12205098	Interaction_between_pathway_members	PPI_directed
FBgn0019947	FBgn0001169	10903180;21071413	interaction_from_external_databases	PPI_undirected
FBgn0262617	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0259212	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0039623	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0030697	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0013759	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0035601	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0260945	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0000273	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0015772	FBgn0015567,FBgn0264855	22036573;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0016126	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0259220	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0037679	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0013984	FBgn0015279	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0052703	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003205	FBgn0000490	9869644;21071413	interaction_from_external_databases	PPI_undirected
FBgn0027504	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0015772	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0024846	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0085385	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0003205	FBgn0003079	8722784;23331499;11063697;9389658;22036573;1461284;15710747;15723799;21036869;8033205;11014822;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0024811	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0004569	FBgn0003079	8812105;21071413	interaction_from_external_databases	PPI_undirected
FBgn0037021	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0035724	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0003256	FBgn0003731	22110040;21071413	Post-translational_modification;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0015279	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0033915	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0004597	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0015024	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0262582	FBgn0003205	11861482;21071413	interaction_from_external_databases	PPI_undirected
FBgn0260934	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0001169	FBgn0004647	23331499;8742832;9383058;8601489;12049762;10446272;16287856;9570768;12154126;21071413	Interaction_between_pathway_members	PPI_directed
FBgn0020622	FBgn0010379	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0036516	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0000044	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0013759	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0261547	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0030245	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0024833	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0263255,FBgn0263395	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0033504	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0038167	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0004956	FBgn0043903	21071413;23331499;12403714;21036869;11696329;12194841;11825879	Interaction_between_pathway_members	PPI_directed
FBgn0261931	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0004856	FBgn0004837	23331499;10713164	Interaction_between_pathway_members	PPI_directed
FBgn0030697	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0026597	11124806;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000721	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0037679	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0001965	FBgn0003205	23331499;1736363	Interaction_between_pathway_members	PPI_directed
FBgn0003169	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0030716	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0260945	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004462	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0002973	FBgn0015772	9846878;9418906;10747019;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0262866	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0262733	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0025743	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0010269	FBgn0003118	8033205;21071413	interaction_from_external_databases	PPI_undirected
FBgn0014001	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0003444	15803137;23331499	Interaction_between_pathway_members	PPI_directed
FBgn0261268	FBgn0264493	16740475;21071413	interaction_from_external_databases	PPI_undirected
FBgn0031905	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0041171	FBgn0261456	14605208;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0001624	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0000273	FBgn0085432	11504926;21071413	interaction_from_external_databases	PPI_undirected
FBgn0046692	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0040011	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0029092	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0035397	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0011743	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0260003	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0030384	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0026598	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0026370	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0000382	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0011743	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0004009	FBgn0003205	9869644;11051548;9716539;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000047	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0035142	FBgn0000117	23331499;19623618	Interaction_between_pathway_members	PPI_directed
FBgn0034970	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0015279	FBgn0020622	8978685;22068330;9169420;21036869;23331499;15935772	Interaction_between_pathway_members	PPI_directed
FBgn0000017	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0003502	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0014006	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0004360	FBgn0026597	10457025;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000229	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0019968	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0261854	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0020249	FBgn0003317	23331499;10357889	Interaction_between_pathway_members	PPI_directed
FBgn0036372	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0027504	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0039748	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0002932	FBgn0004197	17006545;16093323;21036869;23331499	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0000490	FBgn0263930	9374407;21071413	interaction_from_external_databases	PPI_undirected
FBgn0010269	FBgn0003079	8381718;16600911;22028469;11014822;9927462;21036869;9814705;7958887;8013459;9136016;21071413	interaction_from_external_databases	PPI_undirected
FBgn0259984	FBgn0004197	9428413;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0264542	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0027889	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0260003	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0026313	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0025800	FBgn0003169	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0000723	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0045980	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0029006	FBgn0000490	11703946;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003205	FBgn0003984	9814706;21071413	interaction_from_external_databases	PPI_undirected
FBgn0011300	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0260798	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0016797	FBgn0003892	15710747;21071413	interaction_from_external_databases	PPI_undirected
FBgn0016917	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0000117	FBgn0001139	9783586;21071413	interaction_from_external_databases	PPI_undirected
FBgn0021796	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0259220	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0026379	FBgn0020386	23331499;11943559	Interaction_between_pathway_members	PPI_directed
FBgn0010269	FBgn0015402	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0004889	FBgn0000463	9883586;21071413	interaction_from_external_databases	PPI_undirected
FBgn0010333	FBgn0003079	10985385;11076763;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003984	FBgn0005672	11709188;10331978;10902722;10349622;8824589;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000489	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0000577	FBgn0004859	23331499;9023986;7600980;10693758;20965965;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0016917	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0011742	FBgn0005672	22110040	Post-translational_modification	PPI_directed
	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0264959	FBgn0005672	22110040;9927462;21071413	Post-translational_modification;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0035101	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0001624	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0033504	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0035001	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0002413	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0010194	FBgn0261445	22036573;21036869	interaction_from_external_databases	PPI_undirected
FBgn0002413	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003866	FBgn0004859	11076770;11784100;21071413	interaction_from_external_databases	PPI_undirected
FBgn0005666	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0039451	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004644	FBgn0029088	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0004009	FBgn0004859	11171398;11784100;21071413	interaction_from_external_databases	PPI_undirected
FBgn0005672	FBgn0003731	23331499;12169630;8929534;9570772;7833285;7833286;21071413	Interaction_between_pathway_members	PPI_directed
FBgn0011241	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0260990	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0028410	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0261456	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0004638	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0011743	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0000244	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0024227	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0038630	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0020249	FBgn0003716	23331499;10357889	Interaction_between_pathway_members	PPI_directed
FBgn0011817	FBgn0011648	17507407;23331499	Interaction_between_pathway_members	PPI_directed
FBgn0013759	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0010379	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0032650	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0028410	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0040011	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0015279	FBgn0026379	10556061;10617573;21036869	interaction_from_external_databases	PPI_undirected
FBgn0034950	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0023423	FBgn0002413	12432393;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0025716	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0027101	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0016696	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0013988	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0004907	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0016696	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0036372	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0000045	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0035431	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0024179	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0003969	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0010303	FBgn0010909	10469646;9694801;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0045980	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0010909	FBgn0010341	12467587;21071413	interaction_from_external_databases	PPI_undirected
FBgn0010303	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004859	FBgn0000273	15592457;15691767;21036869;11454764;21071413	interaction_from_external_databases	PPI_undirected
FBgn0021796	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0015618	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0001263	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0000117	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0037218	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0014001	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0259680	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0003716	FBgn0020622	11861483;21071413	interaction_from_external_databases	PPI_undirected
FBgn0035601	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0000490	FBgn0003169	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0001139	FBgn0003731	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0037098	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0053193	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0025716	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0000229	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0014467	FBgn0085432	23331499;9774110	Interaction_between_pathway_members	PPI_directed
FBgn0013987	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0021818	FBgn0264959	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0035268	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0015024	FBgn0000117	23331499;14966281;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0011823	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0262582	FBgn0003256	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0013988	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0001624	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0010379	FBgn0038197	12893776;23331499;12908874;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0030384	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0000442	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0033915	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0000046	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0000463	FBgn0001085	10028968;21071413	interaction_from_external_databases	PPI_undirected
FBgn0040388	FBgn0031872	22036573;21036869	interaction_from_external_databases	PPI_undirected
FBgn0020510	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0030011	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0033266	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0035853	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0000489	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0250823	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0085432	FBgn0011648	15575970;21071413	interaction_from_external_databases	PPI_undirected
FBgn0020224	FBgn0003731	23331499;16123311	Interaction_between_pathway_members	PPI_directed
FBgn0015295	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0029891	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0030812	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0259174	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004864	FBgn0003079	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0264607	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0013988	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0003744	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0034606	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0040011	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0011741	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0041203	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0262081	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0040298	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0261278	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0011648	FBgn0003557	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0035397	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0011742	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0013988	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0000046	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0031784	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0003502	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0035590	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0010269	FBgn0003205	8722784;11063697;8033205;21071413	interaction_from_external_databases	PPI_undirected
FBgn0020386	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0015509	FBgn0023423	23331499;12231629	Interaction_between_pathway_members	PPI_directed
FBgn0004638	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003205	FBgn0005672	9814706;21071413	interaction_from_external_databases	PPI_undirected
FBgn0034151	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0000117	FBgn0043900	12015286;21036869;11988739;21071413	interaction_from_external_databases	PPI_undirected
FBgn0027338	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0015279	FBgn0038197	12908874;21036869	interaction_from_external_databases	PPI_undirected
FBgn0024248	FBgn0013984	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
