#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0029891	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0010194	FBgn0015380	23331499;21036869;12660735;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0023528	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0024889	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0024248	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0011300	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0040298	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003091	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0001169	FBgn0004197	8756291;21071413	interaction_from_external_databases	PPI_undirected
FBgn0264959	FBgn0000382	8682295;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000721	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0031855	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0264959	FBgn0004638	22110040;8682295;9927462;21071413	Post-translational_modification;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0023423	FBgn0003444	9461217;9693144;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000017	FBgn0000711	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0004644	FBgn0000490	12756186;8252628;9630745;21071413;12654291;21036869	interaction_from_external_databases	PPI_undirected
FBgn0010909	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0020622	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0003205	FBgn0021818	10557308;9814705;11063697;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0021796	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0002973	FBgn0082582	23331499;9550717;12919675;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0000044	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0019947	FBgn0000463	10903180;10493744;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000117	FBgn0263930	10421372;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003169	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0040298	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0027508	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0020621	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003205	FBgn0000382	8620840;11014820;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000273	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0000490	FBgn0003731	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0067317	FBgn0000117	23331499;12712206	Interaction_between_pathway_members	PPI_directed
FBgn0003371	FBgn0004009	8787754;12015286;11124806;21071413	interaction_from_external_databases	PPI_undirected
FBgn0264542	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0004647	FBgn0003371	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0010269	FBgn0000382	8381718;21071413	interaction_from_external_databases	PPI_undirected
FBgn0026323	FBgn0000117	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0034908	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0015024	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004644	FBgn0002431	12421709;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003205	FBgn0004647	8722784;11944933;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003118	FBgn0004647	8913755;11944933;21071413	interaction_from_external_databases	PPI_undirected
FBgn0024326	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0011741	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0039908	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0004837	FBgn0020496	12154126;21071413	interaction_from_external_databases	PPI_undirected
FBgn0002973	FBgn0004837	10842054;9409662;21071413	interaction_from_external_databases	PPI_undirected
FBgn0037093	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0004784	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0024329	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0001291	FBgn0014467	11976688;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003114	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003205	FBgn0004635	7833286;21071413	interaction_from_external_databases	PPI_undirected
FBgn0011300	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0004009	FBgn0004360	21036869;11717401	interaction_from_external_databases	PPI_undirected
FBgn0263855	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004635	FBgn0000097	7833286;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000711	FBgn0003317	23331499;12134149	Interaction_between_pathway_members	PPI_directed
FBgn0003444	FBgn0000273	23331499;11955435;15803137;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0034590	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0040068	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0260003	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004360	FBgn0000119	23331499;11029007	Interaction_between_pathway_members	PPI_directed
FBgn0003118	FBgn0000382	11014820;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004647	FBgn0000463	11429287;8600026;2509291;2504643;12756168;8913755;11799064;21071413;10935637;10862754;9778511;11719214;10683181;2338245;9334275;8149916;1418999;21036869	interaction_from_external_databases	PPI_undirected
FBgn0039748	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0040206	FBgn0003256	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0261278	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0053519	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0261922	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0264492	FBgn0003557	22110040	Post-translational_modification	PPI_directed
